,species,genus,family,subfamily,tribe
0,Aglaoapis tridentata,Aglaoapis,Megachilidae,Megachilinae,Dioxyini
1,Amegilla,Amegilla,Apidae,Anthophorinae,
2,Amegilla albigena,Amegilla,Apidae,Anthophorinae,
3,Amegilla garrula,Amegilla,Apidae,Anthophorinae,
4,Amegilla quadrifasciata,Amegilla,Apidae,Anthophorinae,
5,Ammobates,Ammobates,Apidae,Anthophorinae,Anthophorinae
6,Ammobates punctatus,Ammobates,Apidae,Anthophorinae,Anthophorinae
7,Ammobatoides scriptus,Ammobatoides,Apidae,Nomadinae,Ammobatoidini
8,Andrena,Andrena,Andrenidae,Andreninae,
9,Andrena afrensis,Andrena,Andrenidae,Andreninae,
10,Andrena agilissima,Andrena,Andrenidae,Andreninae,
11,Andrena albopunctata,Andrena,Andrenidae,Andreninae,
12,Andrena angustior,Andrena,Andrenidae,Andreninae,
13,Andrena apicata,Andrena,Andrenidae,Andreninae,
14,Andrena argentata,Andrena,Andrenidae,Andreninae,
15,Andrena asperrima,Andrena,Andrenidae,Andreninae,
16,Andrena assimilis,Andrena,Andrenidae,Andreninae,
17,Andrena barbilabris,Andrena,Andrenidae,Andreninae,
18,Andrena batava,Andrena,Andrenidae,Andreninae,
19,Andrena bicolor,Andrena,Andrenidae,Andreninae,
20,Andrena bicolorata,Andrena,Andrenidae,Andreninae,
21,Andrena bimaculata,Andrena,Andrenidae,Andreninae,
22,Andrena binominata,Andrena,Andrenidae,Andreninae,
23,Andrena bucephala,Andrena,Andrenidae,Andreninae,
24,Andrena carantonica,Andrena,Andrenidae,Andreninae,
25,Andrena chrysosceles,Andrena,Andrenidae,Andreninae,
26,Andrena cineraria,Andrena,Andrenidae,Andreninae,
27,Andrena clarkella,Andrena,Andrenidae,Andreninae,
28,Andrena coitana,Andrena,Andrenidae,Andreninae,
29,Andrena colletiformis,Andrena,Andrenidae,Andreninae,
30,Andrena combinata,Andrena,Andrenidae,Andreninae,
31,Andrena curvungula,Andrena,Andrenidae,Andreninae,
32,Andrena denticulata,Andrena,Andrenidae,Andreninae,
33,Andrena dorsata,Andrena,Andrenidae,Andreninae,
34,Andrena farinosa,Andrena,Andrenidae,Andreninae,
35,Andrena ferox,Andrena,Andrenidae,Andreninae,
36,Andrena flavipes,Andrena,Andrenidae,Andreninae,
37,Andrena florea,Andrena,Andrenidae,Andreninae,
38,Andrena florentina,Andrena,Andrenidae,Andreninae,
39,Andrena freygessneri,Andrena,Andrenidae,Andreninae,
40,Andrena fucata,Andrena,Andrenidae,Andreninae,
41,Andrena fulva,Andrena,Andrenidae,Andreninae,
42,Andrena fulvago,Andrena,Andrenidae,Andreninae,
43,Andrena fuscipes,Andrena,Andrenidae,Andreninae,
44,Andrena fuscosa,Andrena,Andrenidae,Andreninae,
45,Andrena gravida,Andrena,Andrenidae,Andreninae,
46,Andrena haemorrhoa,Andrena,Andrenidae,Andreninae,
47,Andrena hattorfiana,Andrena,Andrenidae,Andreninae,
48,Andrena helvola,Andrena,Andrenidae,Andreninae,
49,Andrena hispania,Andrena,Andrenidae,Andreninae,
50,Andrena humilis,Andrena,Andrenidae,Andreninae,
51,Andrena labialis,Andrena,Andrenidae,Andreninae,
52,Andrena labiata,Andrena,Andrenidae,Andreninae,
53,Andrena lagopus,Andrena,Andrenidae,Andreninae,
54,Andrena lapponica,Andrena,Andrenidae,Andreninae,
55,Andrena lathyri,Andrena,Andrenidae,Andreninae,
56,Andrena limata,Andrena,Andrenidae,Andreninae,
57,Andrena limbata,Andrena,Andrenidae,Andreninae,
58,Andrena marginata,Andrena,Andrenidae,Andreninae,
59,Andrena minutula,Andrena,Andrenidae,Andreninae,
60,Andrena mitis,Andrena,Andrenidae,Andreninae,
61,Andrena morio,Andrena,Andrenidae,Andreninae,
62,Andrena nigriceps,Andrena,Andrenidae,Andreninae,
63,Andrena nigroaenea,Andrena,Andrenidae,Andreninae,
64,Andrena nigroolivacea,Andrena,Andrenidae,Andreninae,
65,Andrena nigrospina,Andrena,Andrenidae,Andreninae,
66,Andrena nitida,Andrena,Andrenidae,Andreninae,
67,Andrena nycthemera,Andrena,Andrenidae,Andreninae,
68,Andrena ovatula,Andrena,Andrenidae,Andreninae,
69,Andrena pandellei,Andrena,Andrenidae,Andreninae,
70,Andrena paucisquama,Andrena,Andrenidae,Andreninae,
71,Andrena pellucens,Andrena,Andrenidae,Andreninae,
72,Andrena pilipes,Andrena,Andrenidae,Andreninae,
73,Andrena praecox,Andrena,Andrenidae,Andreninae,
74,Andrena propinqua,Andrena,Andrenidae,Andreninae,
75,Andrena proxima,Andrena,Andrenidae,Andreninae,
76,Andrena ranunculi,Andrena,Andrenidae,Andreninae,
77,Andrena rhenana,Andrena,Andrenidae,Andreninae,
78,Andrena rogenhoferi,Andrena,Andrenidae,Andreninae,
79,Andrena rosae,Andrena,Andrenidae,Andreninae,
80,Andrena ruficrus,Andrena,Andrenidae,Andreninae,
81,Andrena sardoa,Andrena,Andrenidae,Andreninae,
82,Andrena saxonica,Andrena,Andrenidae,Andreninae,
83,Andrena schencki,Andrena,Andrenidae,Andreninae,
84,Andrena symphyti,Andrena,Andrenidae,Andreninae,
85,Andrena synadelpha,Andrena,Andrenidae,Andreninae,
86,Andrena thoracica,Andrena,Andrenidae,Andreninae,
87,Andrena tibialis,Andrena,Andrenidae,Andreninae,
88,Andrena trimmerana,Andrena,Andrenidae,Andreninae,
89,Andrena vaga,Andrena,Andrenidae,Andreninae,
90,Andrena variabilis,Andrena,Andrenidae,Andreninae,
91,Andrena varians,Andrena,Andrenidae,Andreninae,
92,Andrena ventralis,Andrena,Andrenidae,Andreninae,
93,Andrena vetula,Andrena,Andrenidae,Andreninae,
94,Andrena villipes,Andrena,Andrenidae,Andreninae,
95,Andrena viridescens,Andrena,Andrenidae,Andreninae,
96,Andrena vulpecula,Andrena,Andrenidae,Andreninae,
97,Andrena wilkella,Andrena,Andrenidae,Andreninae,
98,Anthidiellum,Anthidiellum,Megachilidae,Megachilinae,Anthidiini
99,Anthidiellum strigatum,Anthidiellum,Megachilidae,Megachilinae,Anthidiini
100,Anthidium,Anthidium,Megachilidae,Megachilinae,Anthidiini
101,Anthidium cingulatum,Anthidium,Megachilidae,Megachilinae,Anthidiini
102,Anthidium diadema,Anthidium,Megachilidae,Megachilinae,Anthidiini
103,Anthidium florentinum,Anthidium,Megachilidae,Megachilinae,Anthidiini
104,Anthidium loti,Anthidium,Megachilidae,Megachilinae,Anthidiini
105,Anthidium manicatum,Anthidium,Megachilidae,Megachilinae,Anthidiini
106,Anthidium montanum,Anthidium,Megachilidae,Megachilinae,Anthidiini
107,Anthidium oblongatum,Anthidium,Megachilidae,Megachilinae,Anthidiini
108,Anthidium punctatum,Anthidium,Megachilidae,Megachilinae,Anthidiini
109,Anthidium septemspinosum,Anthidium,Megachilidae,Megachilinae,Anthidiini
110,Anthidium taeniatum,Anthidium,Megachilidae,Megachilinae,Anthidiini
111,Anthophora,Anthophora,Apidae,Anthophorinae,
112,Anthophora aestivalis,Anthophora,Apidae,Anthophorinae,
113,Anthophora agama,Anthophora,Apidae,Anthophorinae,
114,Anthophora atriceps,Anthophora,Apidae,Anthophorinae,
115,Anthophora atroalba,Anthophora,Apidae,Anthophorinae,
116,Anthophora balneorum,Anthophora,Apidae,Anthophorinae,
117,Anthophora bimaculata,Anthophora,Apidae,Anthophorinae,
118,Anthophora canescens,Anthophora,Apidae,Anthophorinae,
119,Anthophora crassipes,Anthophora,Apidae,Anthophorinae,
120,Anthophora crinipes,Anthophora,Apidae,Anthophorinae,
121,Anthophora dispar,Anthophora,Apidae,Anthophorinae,
122,Anthophora femorata,Anthophora,Apidae,Anthophorinae,
123,Anthophora fulvitarsis,Anthophora,Apidae,Anthophorinae,
124,Anthophora fulvodimidiata,Anthophora,Apidae,Anthophorinae,
125,Anthophora furcata,Anthophora,Apidae,Anthophorinae,
126,Anthophora gallica,Anthophora,Apidae,Anthophorinae,
127,Anthophora leucophaea,Anthophora,Apidae,Anthophorinae,
128,Anthophora mucida,Anthophora,Apidae,Anthophorinae,
129,Anthophora nigrovittata,Anthophora,Apidae,Anthophorinae,
130,Anthophora plumipes,Anthophora,Apidae,Anthophorinae,
131,Anthophora plumipes niger,Anthophora,Apidae,Anthophorinae,
132,Anthophora pubescens,Anthophora,Apidae,Anthophorinae,
133,Anthophora quadrimaculata,Anthophora,Apidae,Anthophorinae,
134,Anthophora retusa,Anthophora,Apidae,Anthophorinae,
135,Anthophora retusa meridionalis,Anthophora,Apidae,Anthophorinae,
136,Anthophora retusa retusa,Anthophora,Apidae,Anthophorinae,
137,Anthophora salviae,Anthophora,Apidae,Anthophorinae,
138,Apis mellifera,Apis,Apidae,Apinae,Apini
139,Apis mellifera carnica,Apis,Apidae,Apinae,Apini
140,Apis mellifera cecropia,Apis,Apidae,Apinae,Apini
141,Apis mellifera iberiensis,Apis,Apidae,Apinae,Apini
142,Apis mellifera ligustica,Apis,Apidae,Apinae,Apini
143,Apis mellifera mellifera,Apis,Apidae,Apinae,Apini
144,Apis mellifera ruttneri,Apis,Apidae,Apinae,Apini
145,Apis mellifera siciliana,Apis,Apidae,Apinae,Apini
146,Biastes brevicornis,Biastes,Apidae,Nomadinae,Biastini
147,Biastes emarginatus,Biastes,Apidae,Nomadinae,Biastini
148,Bombus,Bombus,Apidae,Apinae,Bombini
149,Bombus alpinus,Bombus,Apidae,Apinae,Bombini
150,Bombus argillaceus,Bombus,Apidae,Apinae,Bombini
151,Bombus barbutellus,Bombus,Apidae,Apinae,Bombini
152,Bombus bohemicus,Bombus,Apidae,Apinae,Bombini
153,Bombus campestris,Bombus,Apidae,Apinae,Bombini
154,Bombus confusus,Bombus,Apidae,Apinae,Bombini
155,Bombus cryptarum,Bombus,Apidae,Apinae,Bombini
156,Bombus cullumanus,Bombus,Apidae,Apinae,Bombini
157,Bombus distinguendus,Bombus,Apidae,Apinae,Bombini
158,Bombus flavidus,Bombus,Apidae,Apinae,Bombini
159,Bombus gerstaeckeri,Bombus,Apidae,Apinae,Bombini
160,Bombus hortorum,Bombus,Apidae,Apinae,Bombini
161,Bombus humilis,Bombus,Apidae,Apinae,Bombini
162,Bombus humilis humilis,Bombus,Apidae,Apinae,Bombini
163,Bombus hypnorum,Bombus,Apidae,Apinae,Bombini
164,Bombus inexspectatus,Bombus,Apidae,Apinae,Bombini
165,Bombus jonellus,Bombus,Apidae,Apinae,Bombini
166,Bombus laesus mocsaryi,Bombus,Apidae,Apinae,Bombini
167,Bombus lapidarius,Bombus,Apidae,Apinae,Bombini
168,Bombus lapidarius decipiens,Bombus,Apidae,Apinae,Bombini
169,Bombus lucorum,Bombus,Apidae,Apinae,Bombini
170,Bombus magnus,Bombus,Apidae,Apinae,Bombini
171,Bombus mendax,Bombus,Apidae,Apinae,Bombini
172,Bombus mesomelas,Bombus,Apidae,Apinae,Bombini
173,Bombus monticola,Bombus,Apidae,Apinae,Bombini
174,Bombus monticola rondoui,Bombus,Apidae,Apinae,Bombini
175,Bombus monticola scandinavicus,Bombus,Apidae,Apinae,Bombini
176,Bombus mucidus,Bombus,Apidae,Apinae,Bombini
177,Bombus muscorum,Bombus,Apidae,Apinae,Bombini
178,Bombus norvegicus,Bombus,Apidae,Apinae,Bombini
179,Bombus pascuorum,Bombus,Apidae,Apinae,Bombini
180,Bombus pascuorum dusmeti,Bombus,Apidae,Apinae,Bombini
181,Bombus pascuorum floralis,Bombus,Apidae,Apinae,Bombini
182,Bombus pascuorum gotlandicus,Bombus,Apidae,Apinae,Bombini
183,Bombus pascuorum intermedius,Bombus,Apidae,Apinae,Bombini
184,Bombus pascuorum melleofacies,Bombus,Apidae,Apinae,Bombini
185,Bombus pascuorum mniorum,Bombus,Apidae,Apinae,Bombini
