,species,genus,family,subfamily,tribe
0,Amegilla quadrifasciata,Amegilla,Apidae,Anthophorinae,
1,Andrena agilissima,Andrena,Andrenidae,Andreninae,
2,Andrena bicolor,Andrena,Andrenidae,Andreninae,
3,Andrena cineraria,Andrena,Andrenidae,Andreninae,
4,Andrena clarkella,Andrena,Andrenidae,Andreninae,
5,Andrena denticulata,Andrena,Andrenidae,Andreninae,
6,Andrena flavipes,Andrena,Andrenidae,Andreninae,
7,Andrena florea,Andrena,Andrenidae,Andreninae,
8,Andrena fulva,Andrena,Andrenidae,Andreninae,
9,Andrena gravida,Andrena,Andrenidae,Andreninae,
10,Andrena haemorrhoa,Andrena,Andrenidae,Andreninae,
11,Andrena hattorfiana,Andrena,Andrenidae,Andreninae,
12,Andrena nigroaenea,Andrena,Andrenidae,Andreninae,
13,Andrena nitida,Andrena,Andrenidae,Andreninae,
14,Andrena nycthemera,Andrena,Andrenidae,Andreninae,
15,Andrena thoracica,Andrena,Andrenidae,Andreninae,
16,Andrena vaga,Andrena,Andrenidae,Andreninae,
17,Andrena ventralis,Andrena,Andrenidae,Andreninae,
18,Anthidiellum strigatum,Anthidiellum,Megachilidae,Megachilinae,Anthidiini
19,Anthidium florentinum,Anthidium,Megachilidae,Megachilinae,Anthidiini
20,Anthidium manicatum,Anthidium,Megachilidae,Megachilinae,Anthidiini
21,Anthidium oblongatum,Anthidium,Megachilidae,Megachilinae,Anthidiini
22,Anthidium septemspinosum,Anthidium,Megachilidae,Megachilinae,Anthidiini
23,Anthophora bimaculata,Anthophora,Apidae,Anthophorinae,
24,Anthophora furcata,Anthophora,Apidae,Anthophorinae,
25,Anthophora plumipes,Anthophora,Apidae,Anthophorinae,
26,Apis mellifera,Apis,Apidae,Apinae,Apini
27,Bombus argillaceus,Bombus,Apidae,Apinae,Bombini
28,Bombus bohemicus,Bombus,Apidae,Apinae,Bombini
29,Bombus campestris,Bombus,Apidae,Apinae,Bombini
30,Bombus hortorum,Bombus,Apidae,Apinae,Bombini
31,Bombus humilis,Bombus,Apidae,Apinae,Bombini
33,Bombus lapidarius,Bombus,Apidae,Apinae,Bombini
34,Bombus lucorum,Bombus,Apidae,Apinae,Bombini
35,Bombus muscorum,Bombus,Apidae,Apinae,Bombini
36,Bombus pascuorum,Bombus,Apidae,Apinae,Bombini
37,Bombus pratorum,Bombus,Apidae,Apinae,Bombini
38,Bombus ruderatus,Bombus,Apidae,Apinae,Bombini
39,Bombus rupestris,Bombus,Apidae,Apinae,Bombini
40,Bombus sylvarum,Bombus,Apidae,Apinae,Bombini
41,Bombus terrestris lusitanicus,Bombus,Apidae,Apinae,Bombini
42,Bombus vestalis,Bombus,Apidae,Apinae,Bombini
43,Ceratina cucurbitina,Ceratina,Apidae,Xylocopinae,Ceratinini
44,Chelostoma florisomne,Chelostoma,Megachilidae,Megachilinae,Osmiini
45,Colletes cunicularius,Colletes,Colletidae,Colletinae,Colletini
46,Colletes hederae,Colletes,Colletidae,Colletinae,Colletini
47,Dasypoda hirtipes,Dasypoda,Melittidae,Dasypodainae,
48,Halictus rubicundus,Halictus,Halictidae,Halictinae,Halictini
49,Halictus scabiosae,Halictus,Halictidae,Halictinae,Halictini
50,Halictus sexcinctus,Halictus,Halictidae,Halictinae,Halictini
51,Heriades truncorum,Heriades,Megachilidae,Megachilinae,Osmiini
52,Hylaeus variegatus,Hylaeus,Colletidae,Hylaeinae,
53,Lithurgus chrysurus,Lithurgus,Megachilidae,Lithurginae,
54,Macropis europaea,Macropis,Melittidae,Melittinae,
55,Megachile centuncularis,Megachile,Megachilidae,Megachilinae,Megachilini
56,Megachile ericetorum,Megachile,Megachilidae,Megachilinae,Megachilini
57,Megachile sculpturalis,Megachile,Megachilidae,Megachilinae,Megachilini
58,Melecta albifrons,Melecta,Apidae,Nomadinae,Melectini
59,Nomada goodeniana,Nomada,Apidae,Nomadinae,Nomadini
60,Nomada lathburiana,Nomada,Apidae,Nomadinae,Nomadini
61,Osmia aurulenta,Osmia,Megachilidae,Megachilinae,Osmiini
62,Osmia bicolor,Osmia,Megachilidae,Megachilinae,Osmiini
63,Osmia bicornis,Osmia,Megachilidae,Megachilinae,Osmiini
64,Osmia caerulescens,Osmia,Megachilidae,Megachilinae,Osmiini
65,Osmia cornuta,Osmia,Megachilidae,Megachilinae,Osmiini
66,Rhodanthidium septemdentatum,Rhodanthidium,Megachilidae,Megachilinae,Anthidiini
67,Rhodanthidium sticticum,Rhodanthidium,Megachilidae,Megachilinae,Anthidiini
68,Sphecodes albilabris,Sphecodes,Halictidae,Halictinae,Halictini
69,Xylocopa valga,Xylocopa,Apidae,Xylocopinae,Xylocopini
70,Xylocopa violacea,Xylocopa,Apidae,Xylocopinae,Xylocopini
