,species,genus,family,subfamily,tribe
1,Andrena agilissima,Andrena,Andrenidae,Andreninae,
2,Andrena bicolor,Andrena,Andrenidae,Andreninae,
3,Andrena cineraria,Andrena,Andrenidae,Andreninae,
4,Andrena clarkella,Andrena,Andrenidae,Andreninae,
5,Andrena denticulata,Andrena,Andrenidae,Andreninae,
6,Andrena flavipes,Andrena,Andrenidae,Andreninae,
7,Andrena florea,Andrena,Andrenidae,Andreninae,
8,Andrena fulva,Andrena,Andrenidae,Andreninae,
9,Andrena gravida,Andrena,Andrenidae,Andreninae,
10,Andrena haemorrhoa,Andrena,Andrenidae,Andreninae,
11,Andrena hattorfiana,Andrena,Andrenidae,Andreninae,
12,Andrena nigroaenea,Andrena,Andrenidae,Andreninae,
13,Andrena nitida,Andrena,Andrenidae,Andreninae,
14,Andrena nycthemera,Andrena,Andrenidae,Andreninae,
15,Andrena thoracica,Andrena,Andrenidae,Andreninae,
16,Andrena vaga,Andrena,Andrenidae,Andreninae,
17,Andrena ventralis,Andrena,Andrenidae,Andreninae,
